3M                                    94 MAPLEWOOD          MN5514491584  
A-MARK PRECIOUS METALS                395PHILADELPHIA       PA1910783000  
ABBOTT LABORATORIES                   135SANTA MONICA       CA9040175000  
ABBVIE                                111NORTH CHICAGO      IL6006430000  
ABM INDUSTRIES                        500NEW YORK           NY10176110000 
ACTIVISION BLIZZARD                   406SANTA MONICA       CA904059500   
ADOBE SYSTEMS                         443MCLEAN             VA2210215706  
ADP                                   240ROSELAND           NJ7068 57000  
ADVANCE AUTO PARTS                    292ROANOKE            VA2401257500  
AECOM                                 161LOS ANGELES        CA9006787000  
AES                                   194ARLINGTON          VA2220319000  
AETNA                                 43 HARTFORD           CT6156 49500  
AFLAC                                 126COLUMBUS           GA3199910212  
AGCO                                  370DULUTH             GA3009619795  
AIG                                   55 NEW YORK           NY1003856400  
AIR PRODUCTS & CHEMICALS              294ALLENTOWN          PA1819518450  
AIRGAS                                489RADNOR             PA1908717000  
AK STEEL HOLDING                      441WEST CHESTER       OH450698500   
ALASKA AIR GROUP                      438SEATTLE            WA9818819112  
ALBERTSONS COS.                       49 BOISE              ID83706274000 
ALCOA                                 300NEW YORK           NY1002214000  
ALLEGHANY                             428NEW YORK           NY100363420   
ALLIANCE DATA SYSTEMS                 378PLANO              TX7502417000  
ALLSTATE                              84 NORTHBROOK         IL6006243275  
ALLY FINANCIAL                        286DETROIT            MI482267600   
ALPHABET                              27 MOUNTAIN VIEW      CA9404372053  
ALTRIA GROUP                          148RICHMOND           VA232308300   
AMAZON.COM                            12 SEATTLE            WA98109341400 
AMEREN                                431SAINT LOUIS        MO631038629   
AMERICAN AIRLINES GROUP               67 FORT WORTH         TX76155122300 
AMERICAN ELECTRIC POWER               167COLUMBUS           OH4321517634  
AMERICAN EXPRESS                      86 NEW YORK           NY1028556400  
AMERICAN FAMILY INSURANCE GROUP       315MADISON            WI5378310471  
AMERICAN FINANCIAL GROUP              411CINCINNATI         OH452027600   
AMERICAN TOWER                        449BOSTON             MA2116 4507   
AMERIPRISE FINANCIAL                  239MINNEAPOLIS        MN5547413195  
AMERISOURCEBERGEN                     11 CHESTERBROOK       PA1908718500  
AMGEN                                 123THOUSAND OAKS      CA9132019200  
AMPHENOL                              424WALLINGFORD        CT6492 62000  
AMTRUST FINANCIAL SERVICES            475NEW YORK           NY100388000   
